row,title,author,publisher,year,language,source,file
69,Gay Is Ok! A Christian Perspective,Ngeo Boon Lin,Gerakbudaya Enterprise,2020,"[""English""]",placeholder,covers/2020_Gay_Is_Ok!_A_Christian_Perspective_PLACEHOLDER.jpg
70,Peichi,M.Navin,Penerbitan Vallinam,2020,"[""Tamil""]",placeholder,covers/2020_Peichi_PLACEHOLDER.jpg
71,Kamasutra: A Position A Day 365 Days A Year,Claudia Blake,Dorling Kindersley,2019,"[""English""]",placeholder,covers/2019_Kamasutra_A_Position_A_Day_365_Days_A_Year_PLACEHOLDER.jpg
72,Infernal Goatrashing Aggression,,Evil Dead Production,2019,"[""Malay""]",placeholder,covers/2019_Infernal_Goatrashing_Aggression_PLACEHOLDER.jpg
73,Hidden Agendas,Lora Leigh,St. Martin's Press,2018,"[""English""]",placeholder,covers/2018_Hidden_Agendas_PLACEHOLDER.jpg
74,Confesions: A Secret Diary,Amber Stephens,Avon A Division Of Harpercollins Publishers,2018,"[""English""]",placeholder,covers/2018_Confesions_A_Secret_Diary_PLACEHOLDER.jpg
75,Islam Dan Teologi Pembebasan,Asghar Ali Engineer / Agung Prihantoro,Pustaka Pelajar,2018,"[""Indonesian""]",placeholder,covers/2018_Islam_Dan_Teologi_Pembebasan_PLACEHOLDER.jpg
76,The Road To Muhammad,Jalaluddin Rakhmat,Penerbitan Mizan,2018,"[""Indonesian""]",placeholder,covers/2018_The_Road_To_Muhammad_PLACEHOLDER.jpg
77,Mutiara Sastra Ali: Muhammad Hashem Edisi Surat & Aforisme,Muhammad Hashem,Penerbitan Al-Huda,2018,"[""Indonesian""]",placeholder,covers/2018_Mutiara_Sastra_Ali_Muhammad_Hashem_Edisi_Surat_&_Aforisme_PLACEHOLDER.jpg
78,Mengenal Allah Melalui Agama-Agama Purba: Gautama Buddha Seorang Nabi?,Kamaludin Endol,Pustaka Kanzun Mahfiyyan,2018,"[""Malay""]",placeholder,covers/2018_Mengenal_Allah_Melalui_Agama-Agama_Purba_Gautama_Buddha_Seorang_Nabi_PLACEHOLDER.jpg
79,Album Gambar Sejarah Parti Komunis Malaya (I),,Penerbitan Abad Dua Puluh Satu,2018,"[""Malay"", ""English"", ""Chinese""]",placeholder,covers/2018_Album_Gambar_Sejarah_Parti_Komunis_Malaya_(I)_PLACEHOLDER.jpg
80,Manifesto Komunis,Karl Marx & Friedrich Engels/Manya,Thukul Cetak,2017,"[""Malay""]",placeholder,covers/2017_Manifesto_Komunis_PLACEHOLDER.jpg
