Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Aspects Of China's Anti- Japanese Struggle,1951-04-27,1951,L.N. 263,Printed Documents,Mao Tse Tung,People's Publishing House Ltd.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's News (Johore),1951-04-27,1951,L.N. 263,Printed Documents,,People's News Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's News (N. Perak),1951-04-27,1951,L.N. 263,Printed Documents,,People's News Agency,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Chuan Min Fao (People's Newspaper),1951-04-27,1951,L.N. 263,Printed Documents,,People's Culture Co. Ltd.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's Awakening News,1951-04-27,1951,L.N. 263,Printed Documents,,People's Awakening News Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Teachers Of Peiping,1951-04-27,1951,L.N. 263,Printed Documents,,Peiping Teachers Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Call Of The People,1951-04-27,1951,L.N. 263,Printed Documents,,Office Of Seruan Ra'ayat,Local,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,"Could Be Banned Bcs Of Political Dissent, But No Evidence To Support This"
"Chinese People, Unite",1951-04-27,1951,L.N. 263,Printed Documents,Kwo Chieh,Ocean Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Discourses On Economics,1951-04-27,1951,L.N. 263,Printed Documents,Di Chao-Pai,New Knowledge Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Inauguration On Establishment Of People's Democratic Republic,1951-04-27,1951,L.N. 263,Printed Documents,,New Democratic Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"Ladies Of New China, No. 8",1951-04-27,1951,L.N. 263,Printed Documents,,New China Women's League,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Change From Obscene To Communism (Based On Publisher)
Brief History Of Social Development,1951-04-27,1951,L.N. 263,Printed Documents,Engels,New China Bookshop,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Sun Shines On The Sanghai River,1951-04-27,1951,L.N. 263,Printed Documents,Ting Ling,New China Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
A.B.C. Of Historic Materialism,1951-04-27,1951,L.N. 263,Printed Documents,Mok Yim,New China Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Monkey God,1951-04-27,1951,L.N. 263,Printed Documents,Chian Pin,Nenfang Bookstore,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Maybe Religious Deviancy But No Evidence
Before Entering The New Society,1951-04-27,1951,L.N. 263,Printed Documents,Huang Yu,Nan Kuo Bookshop,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Discourse On International Problems,1951-04-27,1951,L.N. 263,Printed Documents,Sarkey,Nan Hai Publishing Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's Democratic Dictatorship,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Internals Of China,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Logical Proof Of Materialism And Historical Materialism,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Portrait Of Stalin,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Stalin Mentioned.
Readers For Workers,1951-04-27,1951,L.N. 263,Printed Documents,Labour Education Workers Union Of Shanghai,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Red Light Press,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Science For The Masses,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Biography Of World's Greatest Soviet Writer,1951-04-27,1951,L.N. 263,Printed Documents,,Modern Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Cannot Find Information On Publication Origin But It Was Assumed That It Is Likely A Foreign Work
Mysterious Universe,1951-04-27,1951,L.N. 263,Printed Documents,Chin Kang Sun,Man Kwong Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information But Could Be Because Religious Deviancy
Aesthetic Conception Of Marxism,1951-04-27,1951,L.N. 263,Printed Documents,,Man Kwong Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Lightening News,1951-04-27,1951,L.N. 263,Printed Documents,,Lightening Publishing Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Short History Of International Relations Of Last Thirty Years,1951-04-27,1951,L.N. 263,Printed Documents,Shu Yen,Life Book Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Discourse On World Political Geography,1951-04-27,1951,L.N. 263,Printed Documents,Chen Yuan,Life Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,The Book Focus On Political Geography From A Marxist Perspective
Liberation Soldiers,1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Soldiers Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Sun Wah Monthly,1951-04-27,1951,L.N. 263,Printed Documents,Sun Wah Book Co.,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Chinese Workers Pictorial,1951-04-27,1951,L.N. 263,Printed Documents,All China Federation Of Labour,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Course Of Russian,1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"Marx, Engels, Lenin & Stalin On Ways Of Thought",1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
On People's Democratic Dictatorship,1951-04-27,1951,L.N. 263,Printed Documents,New China News Agency,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Political Economy,1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Red Flower Must Be Adorned With Green Leaves,1951-04-27,1951,L.N. 263,Printed Documents,"Harbin Railway Workers, Union",Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Atlas Bof The World,1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Outline On Study Of Materialism & Historical Materialism,1951-04-27,1951,L.N. 263,Printed Documents,Mi Ting,Liberation Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Liberation News,1951-04-27,1951,L.N. 263,Printed Documents,,Liberation Committee,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Lenin News,1951-04-27,1951,L.N. 263,Printed Documents,,Lenin News Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Little Sing Girl,1951-04-27,1951,L.N. 263,Printed Documents,Kot Cheung Lun,Kwong Mong Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's Republic Of China,1951-04-27,1951,L.N. 263,Printed Documents,Fong Pak,Kwong Mong Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Revenge,1951-04-27,1951,L.N. 263,Printed Documents,,Kwong Mong Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Adventure Of Sea Leopard,1951-04-27,1951,L.N. 263,Printed Documents,Lida,Kwong Mong Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Get Rid Of Rich Families,1951-04-27,1951,L.N. 263,Printed Documents,Kot Cheung Lun,Kwong Mong Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Scientific Work In Soviet Union,1951-04-27,1951,L.N. 263,Printed Documents,Gennadi Fish,Kui Yin Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
New Conception Of Life,1951-04-27,1951,L.N. 263,Printed Documents,Yu Ming Wong,Knowledge Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
On Socialism & Social History,1951-04-27,1951,L.N. 263,Printed Documents,Siu Tong,Knowledge Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Basic Problems Of Chinese Revolution,1951-04-27,1951,L.N. 263,Printed Documents,Wong Hueng Sing,Knowledge Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
History Of Modern Dialectism,1951-04-27,1951,L.N. 263,Printed Documents,Shum Chi Yuen,Kang Wan Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Reader Of Dialetic Materialism,1951-04-27,1951,L.N. 263,Printed Documents,Suen Wai Yan,International Knowledge Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
History Of Thought In Ancient China,1951-04-27,1951,L.N. 263,Printed Documents,Hau Ngoi Lo,International Cultural Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Author Have Released Marxists Works.
Humanity News,1951-04-27,1951,L.N. 263,Printed Documents,,Humanity News Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Hopeh Literary Arts,1951-04-27,1951,L.N. 263,Printed Documents,,Hopeh Literary Art Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's Song & Music,1951-04-27,1951,L.N. 263,Printed Documents,,Harbin University Faculty Of Drama And Music,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Freedom News,1951-04-27,1951,L.N. 263,Printed Documents,,"Freedom News (Publishing Society, Singapore)",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Days And Nights,1951-04-27,1951,L.N. 263,Printed Documents,Simonev,Foreign Language Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Soviet Novel That Reflects Socialist Values (Red Army's Collective Effort And Loyalty To The State)
Imperialism In Capitalism's Peak,1951-04-27,1951,L.N. 263,Printed Documents,Lenin,Foreign Language Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
On Monopoly Of Food,1951-04-27,1951,L.N. 263,Printed Documents,Lenin,Foreign Language Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Proletariat Revolution & Kanstoky: Rebel Of Revolution,1951-04-27,1951,L.N. 263,Printed Documents,Lenin,Foreign Language Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Selections From Lenin,1951-04-27,1951,L.N. 263,Printed Documents,Lenin,Foreign Language Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's China,1951-04-27,1951,L.N. 263,Printed Documents,,Foreign Language Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,People And China Might Reflect Socialism/Communism
First Flight,1951-04-27,1951,L.N. 263,Printed Documents,"Han Meng, Pan Sun",Equator Press,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Hungary,1951-04-27,1951,L.N. 263,Printed Documents,Lieboyakoff,Epoch Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Production Contest & Labour Discipline,1951-04-27,1951,L.N. 263,Printed Documents,Adreyev,Epoch Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Bulgaria,1951-04-27,1951,L.N. 263,Printed Documents,Konstanchinoff,Epoch Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Czechoslovakia,1951-04-27,1951,L.N. 263,Printed Documents,Medviejiev,Epoch Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Factory With Three Medals,1951-04-27,1951,L.N. 263,Printed Documents,Colielik,Epoch Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Emancipation Series,1951-04-27,1951,L.N. 263,Printed Documents,,Emancipation Series Press,Foreign,Freedom News,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Lending Of The Red Lamp,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Madame Curie,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Mrs. Cheung Lam,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Child Of The Brigade,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"Meng Cheung Ying, Rise Up",1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information But Could Very Much Be Categorised As Communism
Seven Blossoms,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Pub. Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Need More Info On Publisher
Learner's Weekly..,1951-04-27,1951,L.N. 263,Printed Documents,,Editorial Cttee Of Snd Sect. 12Th Platoon,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Life Of Stalin,1951-04-27,1951,L.N. 263,Printed Documents,,Edited By Marx-Anglo-L. School. Sam Luen Bookshop,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
History Of China-Brief Course,1951-04-27,1951,L.N. 263,Printed Documents,,Edited By Chinese History Research Assoc. Sam Luen Bookshop,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Textbook Of Chinese History Of Last Hundred Years,1951-04-27,1951,L.N. 263,Printed Documents,Chang Chien Fu,Cultural Supply Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Reference Materials For Cultural Education,1951-04-27,1951,L.N. 263,Printed Documents,,Cultural Education Comm. Of The People's Govt. Administration,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Malacca News Sheet,1951-04-27,1951,L.N. 263,Printed Documents,,Correspondents Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Hwa Hills Stained With Blood,1951-04-27,1951,L.N. 263,Printed Documents,,Chung Yuen Printing Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Chung Hwa Youths,1951-04-27,1951,L.N. 263,Printed Documents,Chang Mung Lin,Chung Hwa Book Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Guide To Trades & Industrialists Of New China,1951-04-27,1951,L.N. 263,Printed Documents,,Chun Sheng Publishing House,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Industrial & Commercial Paths Of New China,1951-04-27,1951,L.N. 263,Printed Documents,,Chun Sheng Publishing House,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Chun Chau Fortnightly,1951-04-27,1951,L.N. 263,Printed Documents,,Chun Chau Publishing Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Kiangnan Marching Music,1951-04-27,1951,L.N. 263,Printed Documents,,China Music Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
New Democratic Marching Music,1951-04-27,1951,L.N. 263,Printed Documents,,China Music Co.,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Discourses On Basis Of Social Sciences,1951-04-27,1951,L.N. 263,Printed Documents,Shen Chih Yuen,Chi-Yuen Book.Co,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,The Home Ministry Cited Act 301
How To Be A New Youth,1951-04-27,1951,L.N. 263,Printed Documents,Chen Hsien,Chi Yuen Book Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Pictorial Life Of To Hang Chi,1951-04-27,1951,L.N. 263,Printed Documents,,Brothers Book Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Sarbiyan,1951-04-27,1951,L.N. 263,Printed Documents,,Brothers Book Co.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Beacon News,1951-04-27,1951,L.N. 263,Printed Documents,,Beacon Publishing Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Battlefront,1951-04-27,1951,L.N. 263,Printed Documents,,Battlefront Publication Ltd.,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Battle News,1951-04-27,1951,L.N. 263,Printed Documents,,Battle News Press,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Warta Raayat,1951-04-27,1951,L.N. 263,Printed Documents,,Warta Raayat Press,Foreign,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Truth,1951-04-27,1951,L.N. 263,Printed Documents,,Truth Publication,Foreign,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Red Flag,1951-04-27,1951,L.N. 263,Printed Documents,,Red Flag,Foreign,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Warta Kebanungan Raayat,1951-04-27,1951,L.N. 263,Printed Documents,,People's Uprising News Dept.,Foreign,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Peasants Voice,1951-04-27,1951,L.N. 263,Printed Documents,,Peasant Liberation Union,Foreign,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Suara Raayat,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Malay""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Shakti,1951-04-27,1951,L.N. 263,Printed Documents,,"Vai Govindan, Shakti Press Ltd.",Foreign,"Vai Govindan, Shakti Press Ltd.","[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Revolutionary Movement In The Colonies & Semi Colonies,1951-04-27,1951,L.N. 263,Printed Documents,,"Thesis Adopted By The 6Th Conress Of The Communist International, 1928, People's Publishing House Ltd.",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"Towards The Democratic Front To Win Real Independence & People's Democracy, 1948",1951-04-27,1951,L.N. 263,Printed Documents,,Statement Of Policy Central Committee C.P Of India,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Scientific Politics-English,1951-04-27,1951,L.N. 263,Printed Documents,M.N. Roy,"Renaissance, Publisher",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Por Murasu,1951-04-27,1951,L.N. 263,Printed Documents,,"R. Sonaimuthu, Zainullahbudeen",Foreign,"K. Raman, Vijaya Printers","[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Viduthalai Murasu,1951-04-27,1951,L.N. 263,Printed Documents,,Propaganda Section Of Indian Central Committee M.C.P Indian Section,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Puthu Valvu,1951-04-27,1951,L.N. 263,Printed Documents,,Political Committee,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Communist,1951-04-27,1951,L.N. 263,Printed Documents,,"People's Publishing Society House Ltd,",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,"Most Likely Chinese Language, But No Direct Evidence Except For The Fact That The Publisher Use Chinese As Primary Language For Their Ideological Works"
"Communist Party Calls English For A Fighting Spirit Of Toiling Millions Agains Imperialist And Their Collaborators For Freedom And Democracy, 1948.",1951-04-27,1951,L.N. 263,Printed Documents,Review Of The Second Congress Of The C.P. Of India,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"C.P.S.U. Problems Of Party Ideological Work, 1948",1951-04-27,1951,L.N. 263,Printed Documents,,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
India & The Unecafe Conference,1951-04-27,1951,L.N. 263,Printed Documents,B.T. Ranadive 1948,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Marx & Trade Unions,1951-04-27,1951,L.N. 263,Printed Documents,A. Lozorsky,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
May Day Manisfesto In English Of The Communist Party Of India,1951-04-27,1951,L.N. 263,Printed Documents,,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Nehru Government Declares,1951-04-27,1951,L.N. 263,Printed Documents,B.T. Ranadive,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Not,1951-04-27,1951,L.N. 263,Printed Documents,S.A. Dange,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
On The Colonial Question,1951-04-27,1951,L.N. 263,Printed Documents,"Lenin, Stalin And Zhukov",People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Open Letter To Congress-Men,1951-04-27,1951,L.N. 263,Printed Documents,B.T. Ranadive,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
People's Age,1951-04-27,1951,L.N. 263,Printed Documents,,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
"Political Thesis Of The Communist Party Of India, 1948",1951-04-27,1951,L.N. 263,Printed Documents,,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Sterling Balances Betrayal,1951-04-27,1951,L.N. 263,Printed Documents,B.T. Ranadive,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Why No Nationalisation,1951-04-27,1951,L.N. 263,Printed Documents,B.T. Ranadive 1948,People's Publishing House Ltd.,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Puratchi,1951-04-27,1951,L.N. 263,Printed Documents,Magini,,Unclear,Madura,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Viduthalai,1951-04-27,1951,L.N. 263,Printed Documents,,Malayan People's National Liberation Army (Penang And Kedah),Local,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Teeppori,1951-04-27,1951,L.N. 263,Printed Documents,,Malayan National Liberation Army,Local,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Who Rules Pakistan,1951-04-27,1951,L.N. 263,Printed Documents,,"C.P. Publication,1948, People's Publishing House Ltd.",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
On The British Communist Party's Policy,1951-04-27,1951,L.N. 263,Printed Documents,,"C.P. Publication, Oct. 1948, People Publishing House Ltd.",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
One Year Of People's Struggles,1951-04-27,1951,L.N. 263,Printed Documents,,"C.P. Of India Publication, People's Publishing House Ltd.",Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Savera,1951-04-27,1951,L.N. 263,Printed Documents,,Balwant Singh,Foreign,,"[""Tamil""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Workers News,1951-04-27,1951,L.N. 263,Printed Documents,,"Workers Press M.C.P,Singapore",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Workers And Farmers News,1951-04-27,1951,L.N. 263,Printed Documents,,"Workers And Peasant News Press,Johore",Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Workers
Storyof How Woman Rises Up,1951-04-27,1951,L.N. 263,Printed Documents,,Wah Tung Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Upset Press,1951-04-27,1951,L.N. 263,Printed Documents,,"Upset Press,Penang/Kedah",Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Union Paper,1951-04-27,1951,L.N. 263,Printed Documents,,"Union New Press, N. Pahang",Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Stray Dog Cannot Eat Up The Sun,1951-04-27,1951,L.N. 263,Printed Documents,,Tung Yung Pub. Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Writing Experience,1951-04-27,1951,L.N. 263,Printed Documents,Si Na Voon Sen,"Tsi Yuen Bookstore,China",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Communist,1951-04-27,1951,L.N. 263,Printed Documents,,The People' Publishing House,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,"Most Likely Chinese Language, But No Direct Evidence Except For The Fact That The Publisher Use Chinese As Primary Language For Their Ideological Works"
Storm,1951-04-27,1951,L.N. 263,Printed Documents,Chow Li Po,The Northern Publishing Society,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Yellow River,1951-04-27,1951,L.N. 263,Printed Documents,Tsoi Kwan Kai,"The New China Bookshop,Peiping",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Sideviews Of America,1951-04-27,1951,L.N. 263,Printed Documents,Lau Chen Kee,The New China Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Simple Course Of Shorthand,1951-04-27,1951,L.N. 263,Printed Documents,Ping Sang,The New China Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Young Vanguard,1951-04-27,1951,L.N. 263,Printed Documents,,Sun Kwong Publishing Co.Shanghai,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
