Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
Koleksi Cerita Berahi,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Da Tong Publishing Organisation Sdn. Bhd.,Local,Percetakan & Perniagaan Maju Jaya,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Apa Yang Menarik,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Transtar Publications,Local,Percetakan & Perniagaan Maju Jaya,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Masyarakat Majmuk,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Perniagaan Samas,Local,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Rekod Cerita Ganjil (records Of Fabulous Stories),1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Superior Culture Publishing (M) Sdn. Bhd.,Local,Percetakan Direct Art Sdn. Bhd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Mencari Rahsia,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Agroworld Enterprise Room,Local,Polygraphic Marketing Sdn. Bhd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Dunia Menarik,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,Da Tong Publishing Organisation Sdn. Bhd.,Local,Percetakan & Perniagaan Maju Jaya,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Hangat Membara,1992-04-30,1992,P.U. (A) 178,Printed Documents,Bin Han,Bin Han Sdn. Bhd,Local,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Dunia Kaleidoskop,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
No. 28 (Sesuatu Yang Ganjil) No.28,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Gambar-gambar Lucah Amy Yip/,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Rekod Cerita Ganjil (Fabulous Records),1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Majalah Cerita Ganjil,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
No. 29 (Ganjil) No. 29,1992-04-30,1992,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Cerita Seks,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Hong Kong Fu Kheong Publishing House,Foreign,Tin Lung Printing & Colour Separation Factory,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Koleksi Cerita Erotika,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Hong Kong Fu Kheong Publishing House,Foreign,Tin Lung Printing & Colour Separation Factory,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Legenda Ganjil,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Hong Ting Publishing House,Unclear,"Mei Fong Printing Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Wanita Yang Cantik,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,n/a,Unclear,Hip Ho Offset Printing Factory,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Cerita Ganjil,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,fabulous Publishing House,Unclear,"Lai Meng Printing Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Cerita Berahi,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,World Publishing House,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Wanita-Wanita Yang Cantik Sekali,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Hong Kong Super Publishing House,Foreign,Golden Star Colour Separation & Printing Factory,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Lagenda Dunia,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,"Dei Ha Yan Publishing Group Co. Ltd.,",Unclear,"Kim Seng Printing Co. Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Wanita-Wanita Yang Cantik,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Progress Publishing House,Unclear,First Printing Co. Ltd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Laporan Ganjil mengenai cerita Berahi,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,"Ling Lang Group Co. Ltd.,",Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
No. 11 (Sahabat) No.11,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Jin Gan Investment Co. Ltd.,Unclear,"Pu Xin Printing Co. Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Joan Chan Dalam Majalah Penthouse,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Xin Sheng Publishing House,Unclear,Li Ming Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Koleksi Gambar-Gambar Bogel Bintang Filem,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,n/a,Unclear,"Bei Chun Printing Co.,","[""Chinese""]",Obscene / immoral publications,Pornography,,,
No. 201 (Laporan Khas) No. 201,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,"Chao Ren Investment Co. Ltd.,",Unclear,Tai He Printing Co.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Catatan Peristiwa Ganjil,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,New Poway Investment Limited,Unclear,"Fu Yi Printing Co. Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Gadis Hebat,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Prince Publishing House,Unclear,"Mei Li Printing Co. Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
No. 201 (Dunia Yang Ganjil) No 201,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,"Fabulous World Co. Ltd.,",Unclear,"Dili Printing Co.Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
No. 18 (Mini) No. 18,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Kwok Ngai Publishing House,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Gambar-Gambar Gadis Comel,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,"Penguin Publishing House,",Unclear,"Southern Printing Co.,","[""Chinese""]",Obscene / immoral publications,Pornography,,,
Baru dan Ganjil,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,King's Publishing House,Unclear,"Kin Tak Production Co. Ltd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Gambar-Gambar Amy Yip,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Yong Xing Publishing Co.,Unclear,"Xiang An Printing Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Gambar-Gambar Bogel,1992-04-30,1992,P.U. (A) 179,Printed Documents,n/a,Prince Publishing House,Unclear,"Mei Li Printing Co. Ltd.,","[""Chinese""]",Obscene / immoral publications,Pornography,,,
Sex In History,1992-07-23,1992,P.U. (A) 276,Printed Documents,Reay Tannahil,"Macdonald & Co. (Publisher) Ltd.,",Foreign,"Richard Clay Ltd., Bungay","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Dreams Die First,1992-07-23,1992,P.U. (A) 276,Printed Documents,Harold Robbins,"Simon and Schuster Inc., 1977",Foreign,Hodder and Stoughton Paperbacks,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Make Better Love,1992-07-23,1992,P.U. (A) 276,Printed Documents,Enid Broderick,"The Hamlyn Publishing Group Limited,",Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Confessions of an English Maid,1992-07-23,1992,P.U. (A) 276,Printed Documents,Anonymous,"Carroll & Graf Publishers, Inc",Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
The Wantons,1992-07-23,1992,P.U. (A) 276,Printed Documents,Anonymous,"Carroll & Graf Publishers, Inc",Foreign,U.S.A.,"[""English""]",Obscene / immoral publications,Pornography,,,
On Sex and Human Loving,1992-07-23,1992,P.U. (A) 276,Printed Documents,1. William H.Masters 2.Virginia E. 3.Robert C.Kolodny,Ashwin J.Shah Jaico & Publishing House,Foreign,Ankush Ukarde Popular offset Printers,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
More ways to drive your man wild in bed,1992-07-23,1992,P.U. (A) 276,Printed Documents,Graham Masterton,"NAL PENGUIN INC.,",Foreign,"U.S.A Cox and Wyman Ltd. & Mapro Publishing Services Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
More Rugby Jokes,1992-07-23,1992,P.U. (A) 276,Printed Documents,n/a,SPHERE BOOKS LIMITED,Foreign,"Cox & Wyman Ltd, Reading, Great Britain","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Naked As The Day,1992-07-23,1992,P.U. (A) 276,Printed Documents,Phil Vallack,FREE-SUN PUBLICATIONS,Unclear,"Mapro Publishing Services Ltd.,","[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
Siri Pengakuan MANGSA,1992-07-30,1992,P.U. (A) 278,Printed Documents,Azim Chan,JAS ENTERPRISE,Local,MJ Sdn. Bhd.,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Siri mangsa Korban Lelaki,1992-07-30,1992,P.U. (A) 278,Printed Documents,Azim Chan,JAS ENTERPRISE,Local,"Majujaya Indah Sdn. Bhd.,","[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Siri Pengakuan-KEMBARA SEORANG LELAKI,1992-07-30,1992,P.U. (A) 278,Printed Documents,Black Maria,Intercity Enterprise,Local,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Siri Novlet Remaja-RANJANG NAFSU BERAHI,1992-07-30,1992,P.U. (A) 278,Printed Documents,Lina Azia,Meranti Enterprise,Local,Syarikat Percitakan Wah Lian,"[""Malay""]",Obscene / immoral publications,Erotic/immoral content,,,
Siri Novlet Remaja-BERCANDA DI LEMBAH PELACUR,1992-07-30,1992,P.U. (A) 278,Printed Documents,Lina Azia,Meranti Enterprise,Local,Kong Lee Printers,"[""Malay""]",Obscene / immoral publications,Erotic/immoral content,,,
Antologi Siri Jenayah-CELAKA DI SARANG PELACUR,1992-07-30,1992,P.U. (A) 278,Printed Documents,Black Maria,Intercity Enterprise,Local,Seng Wah Enterprise,"[""Malay""]",Obscene / immoral publications,Erotic/immoral content,,,
MENCARI KEPUASAN,1992-07-30,1992,P.U. (A) 278,Printed Documents,Farah Effendy,Mutiara Enterprise,Local,"Hup Heng Press Sdn. Bhd.,","[""Malay""]",Obscene / immoral publications,Pornography,,,
NAFSU SYAITAN,1992-07-30,1992,P.U. (A) 278,Printed Documents,S.Fatimah,Mutiara Enterprise,Local,"Hup Seng Press Sdn.Bhd.,","[""Malay""]",Obscene / immoral publications,Pornography,,,
Kisah Rumahtangga RAPUH,1992-07-30,1992,P.U. (A) 278,Printed Documents,Raden Amir,Merak Kayangan,Unclear,"Kong Lee Printers,","[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
DINGIN,1992-07-30,1992,P.U. (A) 278,Printed Documents,Ermas,"Warta Grafik Sdn. Bhd.,",Local,Polygraphic Marketing Sdn. Bhd.,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Christian Reply To Muslim Objections,1992-08-20,1992,P.U. (A) 315,Printed Documents,W. St. Clair Tisdall,Society for Promoting Kristian Knowledge,Unclear,Light of Life,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Koran Interpreted,1992-08-20,1992,P.U. (A) 315,Printed Documents,A Translation by Arthur J. Arberry,"Macmillan Publishing Co. Inc., Collier Macmillan Canada, Inc.",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Invitation To Ahmadiyyat,1992-08-20,1992,P.U. (A) 315,Printed Documents,Hazrat Haji Mirza Bashir-ud-din Mahmud Ahmad Khalifatul-Masih II,Routledge & Kegan Paul Ltd.,Foreign,Redwood Burn Ltd. Great Britain,"[""English""]",Religious doctrinal deviance,Ahmadiyyah,,,
Sexuality In Islam,1992-08-20,1992,P.U. (A) 315,Printed Documents,Abdelwahab bouhdiba,Routledge & Kegan Paul,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Women In Islam,1992-08-20,1992,P.U. (A) 315,Printed Documents,Wiebke Walther,"Abner Schram Ltd., George Prior Associated Publishers Ltd.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Gospel And Islam,1992-08-20,1992,P.U. (A) 315,Printed Documents,Don M. McCurry,"The Samuel Zwemer Institute,",Unclear,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
Tarikhuna (Our History) No. 1,1992-08-20,1992,P.U. (A) 315,Printed Documents,Irfan Hammour,"Dar Ar-Choura Tajer Bldg, Clemenceau St.",Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Prophet,1992-08-20,1992,P.U. (A) 315,Printed Documents,Kahlil Gibran,William Heinemann Ltd.,Foreign,"Richard Clay (The Chaucer Press) Ltd., Bungay, Suffolk","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Holy Quran with English Translation and Commentary Volume II (Part 1),1992-08-20,1992,P.U. (A) 315,Printed Documents,n/a,M. Mas'ud Ahmad for the Sadr Anjuman Ahmadiyya,Unclear,"The Civil & Military Gazette Ltd.,","[""English""]",Religious doctrinal deviance,Ahmadiyyah,,,
So What's The Difference?,1992-08-20,1992,P.U. (A) 315,Printed Documents,Fritz Ridenour,"Regal Books A Division of GL Publications Ventura,",Foreign,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
I Dared To Call Him Father,1992-08-20,1992,P.U. (A) 315,Printed Documents,Bilquis Sheikh with Richard H. Schneider,"Chosen Books Publishing Co., Ltd",Foreign,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
Karl Mark-A Christian Assessment of His Life & Thought,1992-08-20,1992,P.U. (A) 315,Printed Documents,David Lyon,"Lion Publishing Berkhamsted, Herts, England",Foreign,"IntervarsityPress, Downer Grove, Illinois","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Among the Believers,1992-08-20,1992,P.U. (A) 315,Printed Documents,V.S.Naipaul,"Alfred A. Knopf, Inc. New York",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
A Cry From The Heart,1992-08-20,1992,P.U. (A) 315,Printed Documents,William Sears,George Ronald,Unclear,"Richard Clay (The Chaucer Press) Ltd., Bungay, Suffolk","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Ten Muslims Meet Christ,1992-08-20,1992,P.U. (A) 315,Printed Documents,William McElwee Miller,"William B.Eerdmans Publishing Company,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Leadership For The 21st Century,1992-08-20,1992,P.U. (A) 315,Printed Documents,Ron Boehme,"Frontline Communications,",Unclear,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
Perspectives On The World Christian Movement,1992-08-20,1992,P.U. (A) 315,Printed Documents,Ralph D. Winter and Steven C. Hawthorne,William Carey Library,Foreign,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
The Power Of Myth,1992-08-20,1992,P.U. (A) 315,Printed Documents,Joseph Campbell with Bill Moyers,"Doubleday, a division of Bantam Doubleday Dell Publishing Group, Inc.,",Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
THE SECRET DIARY OF LAURA PALMER,1992-08-27,1992,P.U. (A) 319,Printed Documents,Jennifer Lynch,"Penguin Book Ltd.,",Foreign,"Clays Ltd,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
TREE OF KNOWLEDGE Part 7 (Weekly encyclopedia),1992-09-03,1992,P.U. (A) 331,Printed Documents,n/a,"Marshall Cavendish Partworks Ltd.,",Foreign,"TPL (U.K) Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
PEOPLE IN HISTORY,1992-09-10,1992,P.U. (A) 338,Printed Documents,Avril Price-Budgen,"Artists Division of Mitchell Beazley International Ltd.,",Foreign,Resopal Industria Grafica Lda. Portugal,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Elle,1992-09-10,1992,P.U. (A) 339,Printed Documents,Maggie Alderson,"Hachette Magazine Ltd.,",Foreign,"R R Donnelley Ltd., York, England","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Photo Answers,1992-09-10,1992,P.U. (A) 339,Printed Documents,Steve Bavister,"EMAP Apex Publications Ltd.,",Foreign,Watmoughs Print,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Vox,1992-09-10,1992,P.U. (A) 339,Printed Documents,Alan Lewis,"IPC Magazines, Holborn Publishing Group",Foreign,BPCC Magazines (Milton Keynes) Plc,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
UNLEASHED where no life dwells,1992-10-08,1992,P.U. (A) 362,Audio/Recordings,n/a,"Valentine Sound Productions Sdn. Bhd.,",Local,"Percetakan Cergas (M) Sdn. Bhd.,","[""English""]",Religious doctrinal deviance,Other,,,
SODOM MORTAL WAY OF LIVE,1992-10-08,1992,P.U. (A) 362,Audio/Recordings,n/a,"Valentine Sound Productions Sdn. Bhd.,",Local,"Percetakan Cergas (M) Sdn. Bhd.,","[""English""]",Religious doctrinal deviance,Other,,,
MASSACRE FROM BEYOND,1992-10-08,1992,P.U. (A) 362,Audio/Recordings,n/a,"Valentine Sound Productions Sdn. Bhd.,",Local,"Percetakan Cergas (M) Sdn. Bhd.,","[""English""]",Religious doctrinal deviance,Other,,,
RISK THE REBORN,1992-10-08,1992,P.U. (A) 362,Audio/Recordings,n/a,"Valentine Sound Productions Sdn. Bhd.,",Local,Audio Art Press Sdn. Bhd.,"[""English""]",Religious doctrinal deviance,Other,,,
DANCE '91 THE FINAL VOLUME,1992-10-08,1992,P.U. (A) 362,Audio/Recordings,n/a,"Polygram Pte. Ltd., Singapore",Foreign,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
Amy Yip Yang Berbuah Dada Besar Dan Berotak,1992-10-08,1992,P.U. (A) 363,Audio/Recordings,Tidak diketahui,Fly Rainbow Musical Production,Unclear,"King Musical Industrial Sdn Bhd.,","[""Chinese""]",Religious doctrinal deviance,Other,,,
Prophet Mohammad,1992-10-08,1992,P.U. (A) 364,Printed Documents,n/a,"Educational Publications Bureau Pte. Ltd.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Al Ghazali's Mishkat Al Anwar (The Nicher for Lights),1992-10-08,1992,P.U. (A) 364,Printed Documents,W.H.T. Gairdener,Nusrat Ali Nasri for Kitab Bhavan,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Ninety-Nine Names Of Allah,1992-10-08,1992,P.U. (A) 364,Printed Documents,Shems Fridlanderwith al-Hajj Shaikh Muzaffereddin,"Graham Brash Pte. Ltd.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Reaching Muslims Today,1992-10-08,1992,P.U. (A) 364,Printed Documents,n/a,NORTH AFRICA MISSION,Foreign,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
The Koran,1992-10-08,1992,P.U. (A) 364,Printed Documents,J.M. Rodwell,J.M. DENF & SONS LTD.,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Islam,1992-10-08,1992,P.U. (A) 364,Printed Documents,Alfred Guillaume,Vicking Penguin,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The World's Living Religions,1992-10-08,1992,P.U. (A) 364,Printed Documents,Robert E. Hume,CHARLES SCRIBNER'S SONS.,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Mohammed The Man and His Faith,1992-10-08,1992,P.U. (A) 364,Printed Documents,Tor Andrae,HARPER TORCH BOOKS,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
"The Mohammedan Controversy, biographies of Mohamed, Sprengeron Tradition, The Indina Liturgy and the Psalter",1992-10-08,1992,P.U. (A) 364,Printed Documents,Sir William Muir,"Suresh Kumar for R.S. Publishing House,",Foreign,"Jayyed Press,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Manusia dalam Dosa atau Pahala,1992-11-05,1992,P.U. (A) 420,Printed Documents,"Abdullah Sani, SH","Thinker's Library Sdn. Bhd.,",Local,"Thinker's Library Sdn. Bhd.,","[""Malay""]",Religious doctrinal deviance,Other,,,
Tauhid dan Logika Al-Quran tentang Manusia dan Ekonomi,1992-11-05,1992,P.U. (A) 420,Printed Documents,Nazwar Syamsu,"Thinker's Library Sdn. Bhd.,",Local,"Thinker's Library Sdn. Bhd.,","[""Malay""]",Religious doctrinal deviance,Other,,,
"Tauhid dan Logika Al-Quran tentang Syalat, Puasa dan Waktu",1992-11-05,1992,P.U. (A) 420,Printed Documents,Nazwar Syamsu,"Thinker's Library Sdn. Bhd.,",Local,"Thinker's Library Sdn. Bhd.,","[""Malay""]",Religious doctrinal deviance,Other,,,
Tauhid dan Logika Al-Quran Dasar Tanya Jawab Ilmiah serta Pelengkap,1992-11-05,1992,P.U. (A) 420,Printed Documents,Nazwar Syamsu,"Thinker's Library Sdn. Bhd.,",Local,"Thinker's Library Sdn. Bhd.,","[""Malay""]",Religious doctrinal deviance,Other,,,
Tauhid dan Logika Al-Quran Tentang Manusia dan Masyarakat,1992-11-05,1992,P.U. (A) 420,Printed Documents,Nazwar Syamsu,"Thinker's Library Sdn. Bhd.,",Local,"Thinker's Library Sdn. Bhd.,","[""Malay""]",Religious doctrinal deviance,Other,,,
Kitab Abi Ma'syaril Falak Al-Kabir,1992-11-05,1992,P.U. (A) 420,Printed Documents,Atar Rahman,"Al-Haraman,",Unclear,n/a,"[""Malay"", ""JAWI""]",General/Unindentified,Administrative/Unclear Ground,,,
Risdah Kamarul Huda,1992-11-05,1992,P.U. (A) 420,Printed Documents,n/a,n/a,Unclear,n/a,"[""Malay"", ""JAWI""]",General/Unindentified,Administrative/Unclear Ground,,,
Bintang Dua Belas,1992-11-05,1992,P.U. (A) 420,Printed Documents,Abu Abdul Qadir,Haji Mohd. Ali bin Haji Mohd. Dawa,Unclear,Persama Press,"[""Malay"", ""JAWI""]",General/Unindentified,Administrative/Unclear Ground,,,
Haji Qiran (Siri Buku As Sunnah),1992-11-05,1992,P.U. (A) 420,Printed Documents,H. Hashim A. Ghani,Percetakan K.F.T,Local,Percetakan K.F.T,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Pendedahan kebenaran Adalah Dari Tuhan Mu-Hadith di-dalan Al-Quran,1992-11-05,1992,P.U. (A) 420,Printed Documents,Idris Abdul Rahman,I.A.R. Enterprise,Local,"Direct Art Company,","[""Malay""]",Religious doctrinal deviance,Other,,,
Doa-doa dari Prayers from Al-Quran,1992-11-05,1992,P.U. (A) 420,Printed Documents,Idris Abdul Rahman,I.A.R. Enterprise,Local,n/a,"[""Malay"", ""English""]",Religious doctrinal deviance,Other,,,
Hakikat Insan,1992-11-05,1992,P.U. (A) 420,Printed Documents,Haji Ahmad Laksamana bin omar,n/a,Unclear,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Inilah Pandanganku,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Penerangan Al-Arqam,Local,"Polygraphic Press Sdn.Bhd.,","[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Berhati-hati Membuat Tuduhan,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Penerangan Al-Arqam,Local,"Yeohprinco Sdn. bhd.,","[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Rahsia Ustaz Ashaari Terbongkar Di Luar Negara,1992-11-05,1992,P.U. (A) 420,Printed Documents,Mohd. Sayuti Omar,"Prodescom Sdn. Bhd.,",Local,"Percetakan Polygraphic Sdn. Bhd., Selangor","[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Panduan Membina Empayar Islam Di Asia Tenggara,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Haji Abdul Halim Abbas,Penerbitan Hikmah,Local,Vinlin Press Sdn.Bhd.,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Arqam Militan,1992-11-05,1992,P.U. (A) 420,Printed Documents,Abu Saifullah Ramadhan,"Tinta Merah, Kuala Lumpur",Local,Polygraphic Marketing Sdn. Bhd.,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Langkah-Langkah Perjuangan,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Shoutul Arqam,Local,Vinlin Press Sdn.Bhd.,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Perang Teluk Islam Akan Kembali Gemilang,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Jabatan Syeikhul Arqam (Bahagian Buku),Local,Ampang Press Sdn. Bhd,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Yang Di-rindu,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Penerangan Al-Arqam,Local,Polygraphic Marketing Sdn. Bhd.,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Kenapa Salahkan Musuh?,1992-11-05,1992,P.U. (A) 420,Printed Documents,Ustaz Ashaari Muhammad,Penerangan Al-Arqam,Local,Polygraphic Marketing Sdn. Bhd.,"[""Malay""]",Religious doctrinal deviance,Al-Arqam,,,
Memo Kepada Perdana Menteri,1992-11-05,1992,P.U. (A) 420,Printed Documents,Syed Hussein Alatas,Al-Suhaimi,Unclear,Al-Suhaimi,"[""Malay""]",Religious doctrinal deviance,Other,,,
Secrets,1992-12-17,1992,P.U. (A) 541,Printed Documents,Unity Hall,"Pan Books Ltd.,",Foreign,"Richard Clay (The Chaucer Press) Ltd., Bungay, Suffolk","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Lusting Three,1992-12-17,1992,P.U. (A) 541,Printed Documents,Arthur Adlon,Softcover Library Ltd.,Foreign,"The garden City Press Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Caldo Largo,1992-12-17,1992,P.U. (A) 541,Printed Documents,Earl Thompson,"Pan Books Ltd.,",Foreign,Hazell Watson & Viney Limited,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Best Part of a Man,1992-12-17,1992,P.U. (A) 541,Printed Documents,xaviera Hollander,Tandem publishing Ltd,Foreign,"Hunt Barnard Printing Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Romance Lust,1992-12-17,1992,P.U. (A) 541,Printed Documents,Anonymous,"Paperback Division of W.H. Allen & Co. Ltd.,",Foreign,"Hunt Barnard Printing Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
