Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
HOW TO THINK CORRECTLY,1952-06-12,1952,L.N.329,Printed Documents,WOO SENG,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
KETETAPAN RANG UNDANG-UNDANG BAHASA KEBANGSAAN 1967,1967-03-20,1967,P.U.148,Printed Documents,n/a,BARISAN BERTINDAK BAHASA KEBANGSAAN PUSAT KUALA LUMPUR,Local,MALAY LANGUAGE(RUMI),"[""Malay""]","Race, religion & royalty (3R issues)",Administrative/Unclear Ground,Same as item 33,,
BUSINESS MANAGEMENT & PROFESSIONAL TRAINING,1951-04-27,1951,L.N. 263.,Printed Documents,TO FAM,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
INDIA,1950-07-29,1950,L.N.331,Printed Documents,MO LANG,SAN LIEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",Sam Lien here is most probably probably Sam Luen,,
SUPRISE ATTACK NEWS,1951-04-27,1951,L.N. 263,Printed Documents,n/a,TU CHIK (SURP. ATTACK) PUB.SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Terrorism/Militancy",,,
INTERESTING AFFAIRS OF HUMAN UPON HUMAN,1967-03-30,1967,P.U.155,Printed Documents,KUAN CHIEH,TAO YUEN BOOK STORE,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
CALL OF THE PEOPLE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,OFFICE OF SERUAN RA'AYAT,Local,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,"Could be banned bcs of political dissent, but no evidence to support this",,
I GOT CHIANG KAI SHEK ALIVE,1952-06-12,1952,L.N.329,Printed Documents,SUEN MING WAN,"ONWARD BOOKSHOP,HONG KONG",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STRANGE LOVES OF BEAUTIFUL LADIES,1967-03-30,1967,P.U.155,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,No information; title is vague,,
CAPITALISM,1951-04-27,1951,L.N. 263.,Printed Documents,LAU CHEE MING,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TAI CHUNG PO,1951-04-27,1951,L.N. 263,Printed Documents,n/a,TAI CHUNG PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LUSTFUL DREAMS,1967-03-30,1967,P.U.155,Printed Documents,n/a,n/a,Unclear,n/a,n/a,Obscene / immoral publications,Erotic/immoral content,,,
CAPITALISM,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
WONG CHUNG NAM'S EXPEDITION,1952-06-12,1952,L.N.329,Printed Documents,n/a,COMMUNIST PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SEX MIRROR,1967-03-30,1967,P.U. 155,Printed Documents,DR CHANG HSING,SHANGHAI BOOKSTORE,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
CHARGE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
OUTLINE OF POLITICAL ECONOMY,1950-07-29,1950,L.N.331,Printed Documents,HU MIN,SHANGHAI MAGAZINE CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
INTRODUCING COMMUNIST LEADERS IN VARIOUS COUNTRIES,1952-06-12,1952,L.N.329,Printed Documents,n/a,"SAM LUEN BOOKSHOP,MANCHURIA",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
REVERTING TO ITS ORIGIN,1967-03-30,1967,P.U.155,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
CHART OF EVOLUTION OF SOCIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,SIU TONG,READER'S PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LITTLE MISTER,1950-07-29,1950,L.N.331,Printed Documents,n/a,LITTLE MISTER MONTHLY SOCIETY,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
TALKS ON INDUSTRIAL REVOLUTION,1951-04-27,1951,L.N. 263,Printed Documents,CHIN YIK SHEK,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LEWD SCENES IN SWITZERLAND,1967-03-30,1967,P.U.155,Printed Documents,TSANG HAI KE,GOOD FRIENDS PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
CHART OF STRUCTURE OF SOCIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,SIU TONG,READER'S PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
IN THE OLD HOUSE,1952-06-12,1952,L.N.329,Printed Documents,HON MENG,CHIN SHIH PUBLISHING CO.HONGKONG,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
LEWD SCENES IN A HOTEL,1967-03-30,1967,P.U.155,Printed Documents,n/a,n/a,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
CHEUNG CHO PURCHASES A COW,1951-04-27,1951,L.N. 263.,Printed Documents,WONG AH PING,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE WORLD'S LEADERS OF PEOPLE,1950-07-29,1950,L.N.331,Printed Documents,n/a,POPULAR CULTURE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TALKS ON INTERNATIONAL PROBLEMS,1951-04-27,1951,L.N. 263,Printed Documents,n/a,SOUTH SEAS PUBLISHING BUREAU,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
FLAG,1967-05-25,1967,P.U.230,Printed Documents,n/a,"PROPAGANDA SECTION,PARTAI RAKYAT,SELANGOR",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHILD OF THE BRIGADE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,EDUCATION PICTORIAL PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE NECESSITY TO UNDERSTAND THE REALITY OF THE REVOLUTION,1950-07-29,1950,L.N.331,Printed Documents,TUN HSIAO CHUAN CHEN HSIAOLIANG,SHANGHAI MAGAZINE CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Revolutionary politics,,,
KAI MENG YOUTH,1952-06-12,1952,L.N.329,Printed Documents,n/a,SHANGHAI,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
QUATATIONS FROM CHAIRMAN MAO,1967-05-25,1967,P.U.231,Printed Documents,"THE GENERAL POLITICAL DEPARTMENT OF THE PEOPLE LIBERATION ARMY,CHINA",n/a,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"CHINESE PEOPLE, UNITE",1951-04-27,1951,L.N. 263.,Printed Documents,KWO CHIEH,OCEAN BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE REVOLUTIONARY VIEW OF LIFE,1950-07-29,1950,L.N.331,Printed Documents,TANG HUNG,TRUTH PUBLISHING SOCICTY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Revolutionary politics,,,
WORKMEN'S PARADISE,1952-06-12,1952,L.N.329,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
QUOTATIONS FROM CHAIRMAN MAO TSE-TUNG,1967-05-25,1967,P.U.231,Printed Documents,n/a,"FOREIGN LANGUAGES PRESS,PEKING,1996",Foreign,THE ENGLISH LANGUAGE,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
CHINESE WORKERS PICTORIAL,1951-04-27,1951,L.N. 263.,Printed Documents,ALL CHINA FEDERATION OF LABOUR,LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
KNOWLEDGE OF THE REVOLUTION FOR THE MASSES,1950-07-29,1950,L.N.331,Printed Documents,HUANG I CHENG,HUA HSIA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Revolutionary politics,,,
TALKS ON RUSSIAN LITERATURE,1951-04-27,1951,L.N. 263,Printed Documents,GUBACHEN,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE NEW EVENING POST,1967-07-06,1967,P.U.296,Printed Documents,n/a,THE NEW EVENING POST,Foreign,"YU LI PRESS LTD,HONG KONG","[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHUAN MIN FAO (PEOPLE'S NEWSPAPER),1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PEOPLE'S CULTURE CO. LTD.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
HOW TO KNOW YOURSELF AND SOCIETY,1950-07-29,1950,L.N.331,Printed Documents,LOFU AND OTHERS,PEOPLE'S BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
YOUNG LIFE OF MAO TZE TUNG,1952-06-12,1952,L.N.329,Printed Documents,SIU SUM,NEW DEMOCRACY PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
